unit,nomor,supplier,tgl_bayar,konfir,transfer,cn,memo,outstanding,status
LMG,BYP/06/26/00757,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00759,19B005,2026-06-12,71275000.00,.00,.00,.00,71275000.00,BELUM BAYAR
LMG,BYP/06/26/00761,19B005,2026-06-12,70725000.00,.00,.00,.00,70725000.00,BELUM BAYAR
LMG,BYP/06/26/00758,19B005,2026-06-12,70600000.00,.00,.00,.00,70600000.00,BELUM BAYAR
LMG,BYP/06/26/00840,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00846,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00849,19B005,2026-06-13,70562500.00,.00,.00,.00,70562500.00,BELUM BAYAR
LMG,BYP/06/26/00848,19B005,2026-06-13,71225000.00,.00,.00,.00,71225000.00,BELUM BAYAR
LMG,BYP/06/26/00841,19B005,2026-06-13,71012500.00,.00,.00,.00,71012500.00,BELUM BAYAR
LMG,BYP/06/26/00842,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00843,19B005,2026-06-13,71250000.00,.00,.00,.00,71250000.00,BELUM BAYAR
LMG,BYP/06/26/00845,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00847,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00850,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00844,19B005,2026-06-13,70525000.00,.00,.00,.00,70525000.00,BELUM BAYAR
LMJ,BYP/06/26/00640,19B005,2026-06-11,61250000.00,.00,.00,.00,61250000.00,BELUM BAYAR
LMJ,BYP/06/26/00641,19B005,2026-06-11,62300000.00,.00,.00,.00,62300000.00,BELUM BAYAR
LMJ,BYP/06/26/00642,19B005,2026-06-11,61437500.00,.00,.00,.00,61437500.00,BELUM BAYAR
LMJ,BYP/06/26/00670,19B005,2026-06-11,61250000.00,.00,.00,.00,61250000.00,BELUM BAYAR
LMJ,BYP/06/26/00671,19B005,2026-06-11,61850000.00,.00,.00,.00,61850000.00,BELUM BAYAR
LMJ,BYP/06/26/00725,19B005,2026-06-12,62300000.00,.00,.00,.00,62300000.00,BELUM BAYAR
LMJ,BYP/06/26/00726,19B005,2026-06-12,62300000.00,.00,.00,.00,62300000.00,BELUM BAYAR
LMJ,BYP/06/26/00803,19B005,2026-06-13,61250000.00,.00,.00,.00,61250000.00,BELUM BAYAR
LMJ,BYP/06/26/00801,19B005,2026-06-13,61250000.00,.00,.00,.00,61250000.00,BELUM BAYAR
LMJ,BYP/06/26/00804,19B005,2026-06-13,61775000.00,.00,.00,.00,61775000.00,BELUM BAYAR
LMJ,BYP/06/26/00806,19B005,2026-06-13,62437500.00,.00,.00,.00,62437500.00,BELUM BAYAR
MDN,BYP/06/26/00792,19B005,2026-06-13,70300000.00,.00,.00,.00,70300000.00,BELUM BAYAR
MDN,BYP/06/26/00793,19B005,2026-06-13,70562500.00,.00,.00,.00,70562500.00,BELUM BAYAR
MGT,BYP/06/26/00732,19B005,2026-06-12,71337500.00,.00,.00,.00,71337500.00,BELUM BAYAR
MGT,BYP/06/26/00733,19B005,2026-06-12,71600000.00,.00,.00,.00,71600000.00,BELUM BAYAR
MGT,BYP/06/26/00735,19B005,2026-06-12,70600000.00,.00,.00,.00,70600000.00,BELUM BAYAR
MGT,BYP/06/26/00734,19B005,2026-06-12,70825000.00,.00,.00,.00,70825000.00,BELUM BAYAR
MGT,BYP/06/26/00738,19B005,2026-06-12,70750000.00,.00,.00,.00,70750000.00,BELUM BAYAR
MGT,BYP/06/26/00736,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
MGT,BYP/06/26/00740,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
MGT,BYP/06/26/00737,19B005,2026-06-12,70600000.00,.00,.00,.00,70600000.00,BELUM BAYAR
MGT,BYP/06/26/00739,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
MGT,BYP/06/26/00741,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
MGT,BYP/06/26/00797,19B005,2026-06-13,70675000.00,.00,.00,.00,70675000.00,BELUM BAYAR
MGT,BYP/06/26/00799,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
MGT,BYP/06/26/00796,19B005,2026-06-13,70600000.00,.00,.00,.00,70600000.00,BELUM BAYAR
MGT,BYP/06/26/00800,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
MGT,BYP/06/26/00798,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
MGT,BYP/06/26/00805,19B005,2026-06-13,71350000.00,.00,.00,.00,71350000.00,BELUM BAYAR
MJK,BYP/06/26/00680,19B005,2026-06-11,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
MJK,BYP/06/26/00677,19B005,2026-06-11,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
